index,open,high,low,close,volume
20080327,777000,779000,766000,777000,301
20080326,763000,785000,761000,762000,1767
20080325,785000,788000,778000,778000,1436
20080324,808000,808000,778000,800000,311
20080321,778000,794000,761000,790000,273
20080320,800000,807000,775000,783000,458
20080319,794000,810000,782000,800000,394
20080318,800000,805000,765000,805000,669
20080317,782000,809000,760000,781000,1313
20080314,755000,840000,654000,840000,13161
20080313,769000,778000,751000,769000,800
20080312,766000,769000,755000,769000,315
20080311,779000,779000,742000,760000,477
20080310,760000,770000,743000,770000,292
20080307,809000,809000,756000,756000,418
20080306,776000,810000,753000,810000,825
20080305,758000,786000,746000,786000,377
20080304,743000,755000,734000,755000,296
20080303,758000,758000,731000,736000,613
20080229,766000,770000,760000,761000,530
20080228,775000,775000,763000,770000,513
20080227,793000,795000,773000,773000,369
20080226,785000,785000,778000,778000,276
20080225,783000,795000,777000,785000,277
20080222,793000,794000,768000,770000,628
20080221,790000,799000,786000,792000,482
20080220,810000,810000,789000,789000,552
20080219,818000,826000,815000,819000,465
20080218,828000,840000,800000,800000,544
20080215,840000,840000,801000,840000,551
20080214,815000,840000,814000,840000,593
20080213,795000,839000,791000,839000,579
20080212,771000,818000,760000,818000,669
20080211,812000,815000,773000,773000,928
20080205,834000,840000,813000,819000,264
20080204,801000,830000,801000,830000,292
20080201,819000,826000,800000,813000,603
20080131,840000,842000,819000,819000,809
20080130,832000,840000,822000,840000,538
20080129,850000,860000,830000,840000,1551
20080128,860000,860000,832000,856000,557
20080125,875000,876000,830000,867000,606
20080124,862000,863000,845000,858000,611
20080123,830000,863000,798000,863000,1175
20080122,863000,863000,782000,795000,1085
20080121,869000,869000,830000,857000,1096
20080118,874000,874000,851000,863000,563
20080117,889000,890000,870000,874000,785
20080116,885000,890000,869000,875000,521
20080115,861000,879000,861000,878000,363
20080114,880000,890000,879000,880000,460
20080111,889000,891000,878000,878000,611
20080110,880000,889000,876000,881000,380
20080109,890000,890000,875000,880000,149
20080108,905000,907000,887000,890000,1672
20080107,917000,919000,885000,919000,546
20080104,884000,915000,880000,900000,302
20080103,875000,899000,867000,890000,403
20080102,896000,904000,879000,879000,846
20071228,898000,943000,852000,900000,844
20071227,901000,914000,887000,895000,363
20071226,900000,915000,890000,912000,242
20071224,907000,914000,907000,914000,279
20071221,888000,905000,888000,904000,723
20071220,898000,899000,882000,894000,883
